Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.5,0.95,1,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Autonomy (Autonomie) [#800000], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Conscience (Conscience) [#2E8B57], Public Opinion (Opinion Publique) [#006400], Punishment (Punition) [#708090], Equality (Égalité) [#C71585], Duty (Devoir) [#556B2F]"
0.5,0.95,25,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Social Contract (Contrat Social) [#483D8B], Natural Law (Droit Naturel) [#FF4500], Public Opinion (Opinion Publique) [#006400], Virtue (Vertu) [#000000], Justice (Justice) [#B22222], Moral Equality (Égalité Morale) [#C71585], Moral Education (Éducation Morale) [#D2691E], Moral Responsibility (Responsabilité Morale) [#D2691E]"
0.5,0.95,50,0.6,"General Will [#20B2AA], Moral Liberty [#FF8C00], Natural Compassion [#8B008B], Public Opinion [#006400], Social Contract [#483D8B], Justice [#B22222], Virtue [#000000], Duty [#556B2F], Equality [#C71585], Moral Autonomy [#800000]"
0.5,0.95,75,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Social Contract (Contrat Social) [#483D8B], Natural Compassion (Pitié Naturelle) [#8B008B], Public Morality (Morale Publique) [#D2691E], Justice (Justice) [#B22222], Equality (Égalité) [#C71585], Virtue (Vertu) [#000000], Duty (Devoir) [#556B2F], Freedom (Liberté) [#8B4513]"
0.5,0.95,100,0.6,"General Will [#20B2AA], Moral Liberty [#FF8C00], Natural Law [#FF4500], Social Contract [#483D8B], Public Opinion and Morality [#006400], Compassion [#8B008B], Justice and Injustice [#B22222], Duty and Obligation [#556B2F]"
0.5,0.95,50,0.0,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Law (Droit Naturel) [#FF4500], Compassion (Pitié) [#8B008B], Social Contract (Contrat Social) [#483D8B], Justice (Justice) [#B22222], Duty (Devoir) [#556B2F], Virtue (Vertu) [#000000], Public Opinion (Opinion Publique) [#006400], Equality (Égalité) [#C71585]"
0.5,0.95,50,0.25,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Liberty (Liberté Naturelle) [#FF8C00], Social Contract (Contrat Social) [#483D8B], Justice (Justice) [#B22222], Common Good (Bien Commun) [#228B22], Duty (Devoir) [#556B2F], Virtue (Vertu) [#000000], Moral Equality (Égalité Morale) [#C71585], Moral Responsibility (Responsabilité Morale) [#D2691E]"
0.5,0.95,50,0.5,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Compassion (Pitié Naturelle) [#8B008B], Social Contract (Contrat Social) [#483D8B], Autonomy (Autonomie) [#800000], Moral Equality (Égalité Morale) [#C71585], Public Opinion (Opinion Publique) [#006400], Virtue (Vertu) [#000000], Moral Education (Éducation Morale) [#D2691E], Moral Corruption (Corruption Morale) [#FFD700]"
0.5,0.95,50,0.75,"General Will [#20B2AA], Moral Liberty [#FF8C00], Natural Compassion [#8B008B], Justice [#B22222], Duty [#556B2F], Virtue [#000000], Equality [#C71585], Freedom [#8B4513], Social Contract [#483D8B], Moral Education [#D2691E]"
0.5,0.95,50,1.0,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Compassion (Pitié Naturelle) [#8B008B], Social Contract (Contrat Social) [#483D8B], Public Morality (Morale Publique) [#D2691E], Virtue (Vertu) [#000000], Justice (Justice) [#B22222], Moral Equality (Égalité Morale) [#C71585], Duty (Devoir) [#556B2F], Conscience (Conscience) [#2E8B57]"
